# time	x	y	stress_xx	strain_xx
0.1432511780	0.1385114593	0.0102914880	1683.2703301047	-1.8212241639
0.1441998613	0.1384901145	0.0097864883	1681.2212193887	-1.8285484235
0.1451485446	0.1384695152	0.0093040159	1678.9949398862	-1.8358493243
0.1460972279	0.1384496603	0.0088432223	1676.5628689587	-1.8431261386
0.1470459112	0.1384305244	0.0084032981	1673.8073675308	-1.8503784147
0.1479945945	0.1384121044	0.0079834365	1670.9615270821	-1.8576057094
0.1489432778	0.1383943914	0.0075828451	1667.8550021964	-1.8648071789
0.1498919611	0.1383773759	0.0072007529	1664.5002510374	-1.8719819857
0.1508406444	0.1383610459	0.0068364114	1660.8597089270	-1.8791292521
0.1517893277	0.1383453878	0.0064890947	1656.9262895744	-1.8862480982
0.1527380110	0.1383303864	0.0061580994	1652.6953796902	-1.8933376470
0.1536866943	0.1383160256	0.0058427446	1648.1645303133	-1.9003970276
0.1546353776	0.1383022881	0.0055423717	1643.3331786622	-1.9074253792
0.1555840609	0.1382891552	0.0052563440	1638.1857240354	-1.9144218286
0.1565327442	0.1382766087	0.0049840466	1632.7482958048	-1.9213855463
0.1574814275	0.1382646300	0.0047248863	1627.0189611208	-1.9283157194
0.1584301108	0.1382532004	0.0044782909	1621.0023156883	-1.9352115535
0.1593787941	0.1382423008	0.0042437091	1614.7038311202	-1.9420722742
0.1603274774	0.1382319125	0.0040206098	1608.1297102291	-1.9488971285
0.1612761607	0.1382220165	0.0038084817	1601.2867578584	-1.9556853855
0.1622248440	0.1382125941	0.0036068331	1594.1822658836	-1.9624363371
0.1631735273	0.1382036270	0.0034151908	1586.8239111067	-1.9691492986
0.1641222106	0.1381950971	0.0032331005	1579.2196648616	-1.9758236086
0.1650708939	0.1381869864	0.0030601254	1571.3777132386	-1.9824586298
0.1660195772	0.1381792777	0.0028958463	1563.3063869226	-1.9890537485
0.1669682605	0.1381719538	0.0027398608	1555.0140997210	-1.9956083746
0.1679169438	0.1381649983	0.0025917830	1546.5092949354	-2.0021219418
0.1688656271	0.1381583950	0.0024512428	1537.8003988006	-2.0085939070
0.1698143104	0.1381521283	0.0023178853	1528.8957802822	-2.0150237500
0.1707629936	0.1381461831	0.0021913707	1519.8037165866	-2.0214109730
0.1717116769	0.1381405446	0.0020713735	1510.5323637910	-2.0277551006
0.1726603602	0.1381352191	0.0019575820	1500.9807841121	-2.0340555132
0.1736090435	0.1381301998	0.0018496979	1491.2289418445	-2.0403117241
0.1745577268	0.1381254741	0.0017474358	1481.3215064437	-2.0465233237
0.1755064101	0.1381210272	0.0016505228	1471.2774363715	-2.0526899397
0.1764550934	0.1381168445	0.0015586981	1461.1069305602	-2.0588112233
0.1774037767	0.1381129117	0.0014717121	1450.8171847290	-2.0648868446
0.1783524600	0.1381092151	0.0013893268	1440.4143174121	-2.0709164903
0.1793011433	0.1381057417	0.0013113144	1429.9039997740	-2.0768998634
0.1802498266	0.1381024788	0.0012374578	1419.2916531469	-2.0828366821
0.1811985099	0.1380994148	0.0011675495	1408.5825060839	-2.0887266797
0.1821471932	0.1380965382	0.0011013915	1397.7816080164	-2.0945696037
0.1830958765	0.1380938383	0.0010387952	1386.8938310357	-2.1003652156
0.1840445598	0.1380913049	0.0009795803	1375.9238695556	-2.1061132902
0.1849932431	0.1380889284	0.0009235752	1364.8762405616	-2.1118136151
0.1859419264	0.1380866997	0.0008706163	1353.7552849678	-2.1174659904
0.1868906097	0.1380846099	0.0008205476	1342.5651699948	-2.1230702279
0.1878392930	0.1380826510	0.0007732205	1331.3098923547	-2.1286261508
0.1887879763	0.1380808150	0.0007284936	1319.9932820455	-2.1341335933
0.1897366596	0.1380790948	0.0006862321	1308.6190065976	-2.1395924001
0.1906853429	0.1380774832	0.0006463078	1297.1905756423	-2.1450024257
0.1916340262	0.1380759738	0.0006085986	1285.7113457133	-2.1503635345
0.1925827095	0.1380745603	0.0005729884	1274.1845252058	-2.1556755998
0.1935313928	0.1380732369	0.0005393668	1262.6131794375	-2.1609385038
0.1944800761	0.1380719981	0.0005076287	1251.0002357658	-2.1661521372
0.1954287594	0.1380708386	0.0004776742	1239.3484887247	-2.1713163985
0.1963774427	0.1380697535	0.0004494085	1227.6606051507	-2.1764311942
0.1973261260	0.1380687383	0.0004227413	1215.9391292731	-2.1814964379
0.1982748093	0.1380677885	0.0003975870	1204.1864877481	-2.1865120504
0.1992234926	0.1380669001	0.0003738641	1192.4049946204	-2.1914779590
0.2001721759	0.1380660692	0.0003514954	1180.5968561960	-2.1963940977
0.2011208592	0.1380652922	0.0003304075	1168.7641758178	-2.2012604064
0.2020695425	0.1380645656	0.0003105307	1156.9089585314	-2.2060768310
0.2030182258	0.1380638863	0.0002917990	1145.0331156361	-2.2108433232
0.2039669091	0.1380632513	0.0002741497	1133.1384691132	-2.2155598396
0.2049155924	0.1380626577	0.0002575232	1121.2267559280	-2.2202263424
0.2058642757	0.1380621028	0.0002418632	1109.2996322029	-2.2248427984
0.2068129590	0.1380615843	0.0002271162	1097.3586772573	-2.2294091795
0.2077616423	0.1380610996	0.0002132316	1085.4053975153	-2.2339254616
0.2087103256	0.1380606468	0.0002001613	1073.4412302792	-2.2383916254
0.2096590089	0.1380602236	0.0001878598	1061.4675473694	-2.2428076555
0.2106076922	0.1380598282	0.0001762839	1049.4856586318	-2.2471735406
0.2115563755	0.1380594587	0.0001653930	1037.4968153137	-2.2514892731
0.2125050588	0.1380591135	0.0001551482	1025.5022133102	-2.2557548491
0.2134537421	0.1380587910	0.0001455131	1013.5029962826	-2.2599702684
0.2144024254	0.1380584897	0.0001364529	1001.5002586524	-2.2641355341
0.2153511087	0.1380582082	0.0001279350	989.4950484719	-2.2682506525
0.2162997920	0.1380579452	0.0001199283	977.4883701764	-2.2723156331
0.2172484753	0.1380576994	0.0001124035	965.4811872181	-2.2763304886
0.2181971586	0.1380574698	0.0001053329	953.4744245885	-2.2802952345
0.2191458418	0.1380572553	0.0000986902	941.4689712284	-2.2842098892
0.2200945251	0.1380570549	0.0000924507	929.4656823322	-2.2880744739
0.2210432084	0.1380568677	0.0000865910	917.4653815476	-2.2918890124
0.2219918917	0.1380566923	0.0000810889	905.4663593894	-2.2956535247
0.2229405750	0.1380565263	0.0000759236	893.4572980735	-2.2993680002
0.2238892583	0.1380563686	0.0000710752	881.4435050566	-2.3030324392
0.2248379416	0.1380562188	0.0000665252	869.4292906446	-2.3066468535
0.2257866249	0.1380560765	0.0000622559	857.4175533888	-2.3102112630
0.2267353082	0.1380559414	0.0000582508	845.4102407065	-2.3137256938
0.2276839915	0.1380558130	0.0000544942	833.4087216277	-2.3171901764
0.2286326748	0.1380556911	0.0000509712	821.4140137809	-2.3206047449
0.2295813581	0.1380555754	0.0000476680	809.4269156891	-2.3239694358
0.2305300414	0.1380554655	0.0000445714	797.4480848377	-2.3272842883
0.2314787247	0.1380553612	0.0000416689	785.4780849136	-2.3305493431
0.2324274080	0.1380552623	0.0000389490	773.5174150682	-2.3337646430
0.2333760913	0.1380551684	0.0000364005	761.5665283578	-2.3369302321
0.2343247746	0.1380550794	0.0000340130	749.6258434831	-2.3400461560
0.2352734579	0.1380549949	0.0000317769	737.6957522843	-2.3431124614
0.2362221412	0.1380549148	0.0000296828	725.7766244971	-2.3461291963
0.2371708245	0.1380548389	0.0000277221	713.8688107109	-2.3490964096
0.2381195078	0.1380547669	0.0000258866	701.9726441266	-2.3520141512
0.2390681911	0.1380546987	0.0000241686	690.0884414924	-2.3548824717
0.2400168744	0.1380546341	0.0000225609	678.2165034611	-2.3577014224
0.2409655577	0.1380545729	0.0000210567	666.3571145232	-2.3604710550
0.2419142410	0.1380545149	0.0000196496	654.5105426114	-2.3631914219
0.2428629243	0.1380544600	0.0000183334	642.6770384364	-2.3658625754
0.2438116076	0.1380544080	0.0000171026	630.8568345908	-2.3684845680
0.2447602909	0.1380543587	0.0000159518	619.0501444370	-2.3710574519
0.2457089742	0.1380543122	0.0000148760	607.2571607910	-2.3735812790
0.2466576575	0.1380542681	0.0000138705	595.4780544024	-2.3760561005
0.2476063408	0.1380542263	0.0000129308	583.7129722295	-2.3784819669
0.2485550241	0.1380541869	0.0000120528	571.9620355048	-2.3808589271
0.2495037074	0.1380541496	0.0000112327	560.2253375864	-2.3831870288
0.2504523907	0.1380541143	0.0000104666	548.5029415917	-2.3854663176
0.2514010740	0.1380540809	0.0000097512	536.7948778094	-2.3876968367
0.2523497573	0.1380540494	0.0000090832	525.1011408926	-2.3898786267
0.2532984406	0.1380540196	0.0000084596	513.4216868377	-2.3920117245
0.2542471239	0.1380539914	0.0000078776	501.7564297634	-2.3940961633
0.2551958072	0.1380539648	0.0000073344	490.1052385098	-2.3961319718
0.2561444905	0.1380539397	0.0000068276	478.4679330944	-2.3981191734
0.2570931738	0.1380539160	0.0000063548	466.8442810739	-2.4000577854
0.2580418571	0.1380538936	0.0000059138	455.2339938815	-2.4019478184
0.2589905404	0.1380538724	0.0000055026	443.6367232393	-2.4037892751
0.2599392237	0.1380538525	0.0000051191	432.0520577684	-2.4055821498
0.2608879070	0.1380538337	0.0000047616	420.4795199722	-2.4073264268
0.2618365903	0.1380538159	0.0000044283	408.9185638053	-2.4090220797
0.2627852736	0.1380537992	0.0000041178	397.3685731142	-2.4106690700
0.2637339569	0.1380537834	0.0000038284	385.8288612980	-2.4122673461
0.2646826402	0.1380537685	0.0000035588	374.2986726449	-2.4138168422
0.2656313235	0.1380537545	0.0000033077	362.7771858909	-2.4153174766
