# time	stress	strain
28.9615384615	-0.4531099610	-0.0045310996
28.9807692308	-0.4465635120	-0.0044656351
29.0000000000	-0.4399463223	-0.0043994632
29.0192307692	-0.4332595994	-0.0043325960
29.0384615385	-0.4265045877	-0.0042650459
29.0576923077	-0.4196825642	-0.0041968256
29.0769230769	-0.4127948350	-0.0041279484
29.0961538462	-0.4058427310	-0.0040584273
29.1153846154	-0.3988276032	-0.0039882760
29.1346153846	-0.3917508192	-0.0039175082
29.1538461538	-0.3846137588	-0.0038461376
29.1730769231	-0.3774178102	-0.0037741781
29.1923076923	-0.3701643664	-0.0037016437
29.2115384615	-0.3628548211	-0.0036285482
29.2307692308	-0.3554905659	-0.0035549057
29.2500000000	-0.3480729871	-0.0034807299
29.2692307692	-0.3406034628	-0.0034060346
29.2884615385	-0.3330833603	-0.0033308336
29.3076923077	-0.3255140343	-0.0032551403
29.3269230769	-0.3178968251	-0.0031789683
29.3461538462	-0.3102330568	-0.0031023306
29.3653846154	-0.3025240363	-0.0030252404
29.3846153846	-0.2947710528	-0.0029477105
29.4038461538	-0.2869753773	-0.0028697538
29.4230769231	-0.2791382624	-0.0027913826
29.4423076923	-0.2712609428	-0.0027126094
29.4615384615	-0.2633446357	-0.0026334464
29.4807692308	-0.2553905420	-0.0025539054
29.5000000000	-0.2473998470	-0.0024739985
29.5192307692	-0.2393737223	-0.0023937372
29.5384615385	-0.2313133269	-0.0023131333
29.5576923077	-0.2232198095	-0.0022321981
29.5769230769	-0.2150943100	-0.0021509431
29.5961538462	-0.2069379618	-0.0020693796
29.6153846154	-0.1987518941	-0.0019875189
29.6346153846	-0.1905372335	-0.0019053723
29.6538461538	-0.1822951067	-0.0018229511
29.6730769231	-0.1740266426	-0.0017402664
29.6923076923	-0.1657329739	-0.0016573297
29.7115384615	-0.1574152397	-0.0015741524
29.7307692308	-0.1490745871	-0.0014907459
29.7500000000	-0.1407121725	-0.0014071217
29.7692307692	-0.1323291639	-0.0013232916
29.7884615385	-0.1239267415	-0.0012392674
29.8076923077	-0.1155060989	-0.0011550610
29.8269230769	-0.1070684443	-0.0010706844
29.8461538462	-0.0986150006	-0.0009861500
29.8653846154	-0.0901470058	-0.0009014701
29.8846153846	-0.0816657132	-0.0008166571
29.9038461538	-0.0731723908	-0.0007317239
29.9230769231	-0.0646683211	-0.0006466832
29.9423076923	-0.0561548000	-0.0005615480
29.9615384615	-0.0476331358	-0.0004763314
29.9807692308	-0.0391046478	-0.0003910465
30.0000000000	-0.0305706650	-0.0003057067
30.0192307692	-0.0220325241	-0.0002203252
30.0384615385	-0.0134915676	-0.0001349157
30.0576923077	-0.0049491416	-0.0000494914
30.0769230769	0.0035934063	0.0000359341
30.0961538462	0.0121347293	0.0001213473
30.1153846154	0.0206734840	0.0002067348
30.1346153846	0.0292083326	0.0002920833
30.1538461538	0.0377379455	0.0003773795
30.1730769231	0.0462610037	0.0004626100
30.1923076923	0.0547762011	0.0005477620
