# time	x	y	stress_xx	strain_xx
0.4596194078	0.1377301362	0.0000000000	2962.6006634125	-71.0492414184
0.4666904756	0.1377301362	0.0000000000	2964.0098028413	-72.2811653128
0.4737615434	0.1377301362	0.0000000000	2965.0786621171	-73.5135335347
0.4808326112	0.1377301362	0.0000000000	2965.8083988339	-74.7462050982
0.4879036790	0.1377301362	0.0000000000	2966.2058065833	-75.9790418424
0.4949747468	0.1377301362	0.0000000000	2966.2817422359	-77.2119101195
0.5020458146	0.1377301362	0.0000000000	2966.0498210560	-78.4446819427
0.5091168825	0.1377301362	0.0000000000	2965.5253726525	-79.6772356980
0.5161879503	0.1377301362	0.0000000000	2964.7246342446	-80.9094565219
0.5232590181	0.1377301362	0.0000000000	2963.6641447654	-82.1412364272
0.5303300859	0.1377301362	0.0000000000	2962.3603071023	-83.3724742457
0.5374011537	0.1377301362	0.0000000000	2960.8290798936	-84.6030754442
0.5444722215	0.1377301362	0.0000000000	2959.0857739660	-85.8329518549
0.5515432893	0.1377301362	0.0000000000	2957.1449258537	-87.0620213533
0.5586143571	0.1377301362	0.0000000000	2955.0202275405	-88.2902075077
0.5656854249	0.1377301362	0.0000000000	2952.7244989700	-89.5174392160
0.5727564928	0.1377301362	0.0000000000	2950.2696930183	-90.7436503456
0.5798275606	0.1377301362	0.0000000000	2947.6669067629	-91.9687793775
0.5868986284	0.1377301362	0.0000000000	2944.9264268847	-93.1927690694
0.5939696962	0.1377301362	0.0000000000	2942.0577741037	-94.4155661373
0.6010407640	0.1377301362	0.0000000000	2939.0697397730	-95.6371209522
0.6081118318	0.1377301362	0.0000000000	2935.9704254655	-96.8573872534
0.6151828996	0.1377301362	0.0000000000	2932.7673332429	-98.0763218991
0.6222539674	0.1377301362	0.0000000000	2929.4673518125	-99.2938846116
0.6293250353	0.1377301362	0.0000000000	2926.0768570227	-100.5100377640
0.6363961031	0.1377301362	0.0000000000	2922.6016445886	-101.7247461400
0.6434671709	0.1377301362	0.0000000000	2919.0471494350	-102.9379767943
0.6505382387	0.1377301362	0.0000000000	2915.4181212049	-104.1496987554
0.6576093065	0.1377301362	0.0000000000	2911.7190738725	-105.3598829259
0.6646803743	0.1377301362	0.0000000000	2907.9543489376	-106.5685020110
0.6717514421	0.1377301362	0.0000000000	2904.1263041252	-107.7755296938
0.6788225099	0.1377301362	0.0000000000	2900.2393292559	-108.9809414811
0.6858935778	0.1377301362	0.0000000000	2896.2931410859	-110.1847127605
0.6929646456	0.1377301362	0.0000000000	3205.9176681149	-111.5172014392
0.7000357134	0.1377301362	0.0000000000	3205.9187446069	-112.8496904616
0.7071067812	0.1377301362	0.0000000000	3205.9191760556	-114.1821796219
0.7141778490	0.1377301362	0.0000000000	3205.9193489767	-115.5146688373
0.7212489168	0.1377301362	0.0000000000	3205.9194182822	-116.8471580749
0.7283199846	0.1377301362	0.0000000000	3205.9194460593	-118.1796473213
0.7353910524	0.1377301362	0.0000000000	3205.9194571921	-119.5121365714
0.7424621202	0.1377301362	0.0000000000	3205.9194616541	-120.8446258228
0.7495331881	0.1377301362	0.0000000000	3205.9194634424	-122.1771150748
