# time	stress	strain
2.0200000000	0.0796131067	0.0020166236
2.0300000000	0.1186540208	0.0030055415
2.0400000000	0.1572240532	0.0039825318
2.0500000000	0.1951696011	0.0049437037
2.0600000000	0.2323392730	0.0058852225
2.0700000000	0.2685845116	0.0068033252
2.0800000000	0.3037602089	0.0076943360
2.0900000000	0.3377253114	0.0085546821
2.1000000000	0.3703434114	0.0093809082
2.1100000000	0.4014833228	0.0101696914
2.1200000000	0.4310196377	0.0109178550
2.1300000000	0.4588332611	0.0116223823
2.1400000000	0.4848119214	0.0122804294
2.1500000000	0.5088506529	0.0128893376
2.1600000000	0.5308522495	0.0134466446
2.1700000000	0.5507276855	0.0139500952
2.1800000000	0.5683965021	0.0143976516
2.1900000000	0.5837871576	0.0147875014
2.2000000000	0.5968373382	0.0151180664
2.2100000000	0.6074942299	0.0153880086
2.2200000000	0.6157147477	0.0155962368
2.2300000000	0.6214657221	0.0157419106
2.2400000000	0.6247240417	0.0158244448
2.2500000000	0.6254767509	0.0158435112
2.2600000000	0.6237211027	0.0157990401
2.2700000000	0.6194645661	0.0156912208
2.2800000000	0.6127247870	0.0155205002
2.2900000000	0.6035295059	0.0152875810
2.3000000000	0.5919164289	0.0149934183
2.3100000000	0.5779330569	0.0146392153
2.3200000000	0.5616364707	0.0142264180
2.3300000000	0.5430930755	0.0137567083
2.3400000000	0.5223783052	0.0132319970
2.3500000000	0.4995762884	0.0126544152
2.3600000000	0.4747794788	0.0120263047
2.3700000000	0.4480882507	0.0113502080
2.3800000000	0.4196104627	0.0106288572
2.3900000000	0.3894609928	0.0098651622
2.4000000000	0.3577612448	0.0090621982
2.4100000000	0.3246386314	0.0082231926
2.4200000000	0.2902260352	0.0073515114
2.4300000000	0.2546612506	0.0064506448
2.4400000000	0.2180864086	0.0055241933
2.4500000000	0.1806473892	0.0045758518
2.4600000000	0.1424932214	0.0036093955
2.4700000000	0.1037754765	0.0026286635
2.4800000000	0.0646476546	0.0016375442
2.4900000000	0.0252645688	0.0006399590
2.5000000000	-0.0142182708	-0.0003601530
2.5100000000	-0.0536452714	-0.0013588506
2.5200000000	-0.0928613670	-0.0023522059
2.5300000000	-0.1317126208	-0.0033363197
2.5400000000	-0.1700468190	-0.0043073362
2.5500000000	-0.2077140531	-0.0052614584
2.5600000000	-0.2445672892	-0.0061949618
2.5700000000	-0.2804629221	-0.0071042088
2.5800000000	-0.3152613125	-0.0079856623
2.5900000000	-0.3488273062	-0.0088358989
2.6000000000	-0.3810307329	-0.0096516212
2.6100000000	-0.4117468837	-0.0104296704
2.6200000000	-0.4408569654	-0.0111670374
2.6300000000	-0.4682485319	-0.0118608739
2.6400000000	-0.4938158895	-0.0125085026
2.6500000000	-0.5174604764	-0.0131074270
2.6600000000	-0.5390912155	-0.0136553400
2.6700000000	-0.5586248387	-0.0141501325
2.6800000000	-0.5759861834	-0.0145899005
2.6900000000	-0.5911084588	-0.0149729522
2.7000000000	-0.6039334833	-0.0152978138
2.7100000000	-0.6144118902	-0.0155632350
2.7200000000	-0.6225033038	-0.0157681929
2.7300000000	-0.6281764833	-0.0159118962
2.7400000000	-0.6314094357	-0.0159937878
2.7500000000	-0.6321894957	-0.0160135470
2.7600000000	-0.6305133750	-0.0159710904
2.7700000000	-0.6263871781	-0.0158665726
2.7800000000	-0.6198263856	-0.0157003858
2.7900000000	-0.6108558063	-0.0154731583
2.8000000000	-0.5995094951	-0.0151857529
2.8100000000	-0.5858306399	-0.0148392635
2.8200000000	-0.5698714155	-0.0144350116
2.8300000000	-0.5516928057	-0.0139745420
2.8400000000	-0.5313643935	-0.0134596173
2.8500000000	-0.5089641204	-0.0128922118
2.8600000000	-0.4845780137	-0.0122745045
2.8700000000	-0.4582998843	-0.0116088717
2.8800000000	-0.4302309947	-0.0108978784
2.8900000000	-0.4004796975	-0.0101442692
2.9000000000	-0.3691610455	-0.0093509585
2.9100000000	-0.3363963753	-0.0085210197
2.9200000000	-0.3023128642	-0.0076576743
2.9300000000	-0.2670430622	-0.0067642798
2.9400000000	-0.2307243998	-0.0058443173
2.9500000000	-0.1934986745	-0.0049013787
2.9600000000	-0.1555115157	-0.0039391527
2.9700000000	-0.1169118313	-0.0029614113
2.9800000000	-0.0778512363	-0.0019719949
2.9900000000	-0.0384834673	-0.0009747976
3.0000000000	0.0010362174	0.0000262477
3.0100000000	0.0405516470	0.0010271852
3.0200000000	0.0799063579	0.0020240517
3.0300000000	0.1189442173	0.0030128922
3.0400000000	0.1575100522	0.0039897762
3.0500000000	0.1954502781	0.0049508134
3.0600000000	0.2326135268	0.0058921695
3.0700000000	0.2688512683	0.0068100822
3.0800000000	0.3040184265	0.0077008767
3.0900000000	0.3379739839	0.0085609810
3.1000000000	0.3705815731	0.0093869409
3.1100000000	0.4017100522	0.0101754345
3.1200000000	0.4312340613	0.0109232864
3.1300000000	0.4590345570	0.0116274812
3.1400000000	0.4849993225	0.0122851764
3.1500000000	0.5090234503	0.0128937146
3.1600000000	0.5310097952	0.0134506352
3.1700000000	0.5508693950	0.0139536848
3.1800000000	0.5685218569	0.0144008269
3.1900000000	0.5838957070	0.0147902510
3.2000000000	0.5969287014	0.0151203806
3.2100000000	0.6075680970	0.0153898797
3.2200000000	0.6157708812	0.0155976586
3.2300000000	0.6215039573	0.0157428791
3.2400000000	0.6247442876	0.0158249577
3.2500000000	0.6254789900	0.0158435679
3.2600000000	0.6237053911	0.0157986421
3.2700000000	0.6194310325	0.0156903713
3.2800000000	0.6126736324	0.0155192044
3.2900000000	0.6034610020	0.0152858458
3.3000000000	0.5918309169	0.0149912523
3.3100000000	0.5778309457	0.0146366288
3.3200000000	0.5615182348	0.0142234230
3.3300000000	0.5429592526	0.0137533185
3.3400000000	0.5222294935	0.0132282276
3.3500000000	0.4994131442	0.0126502827
3.3600000000	0.4746027129	0.0120218272
