# step	 time	 x_p_n	 v_p_n	 N0	 N1	 mass_n0	 mass_n1	 mv_n0	 mv_n1	 f_total0	 f_total1	 mv_n0_after	 mv_n1_after	 a_grid	 v_pic	 x_p_np1	 v_p_np1
61	0.6100000000	0.4954838268	-0.0719017783	0.5045161732	0.4954838268	0.5045161732	0.4954838268	0.0000000000	-0.0356261683	-0.3576041407	0.3576041407	0.0000000000	-0.0320501269	0.0000000000	-0.0320501269	0.4951633256	-0.0683257369
62	0.6200000000	0.4951633256	-0.0683257369	0.5048366744	0.4951633256	0.5048366744	0.4951633256	0.0000000000	-0.0338323991	-0.3831405603	0.3831405603	0.0000000000	-0.0300009935	0.0000000000	-0.0300009935	0.4948633156	-0.0644943313
63	0.6300000000	0.4948633156	-0.0644943313	0.5051366844	0.4948633156	0.5051366844	0.4948633156	0.0000000000	-0.0319158786	-0.4070597742	0.4070597742	0.0000000000	-0.0278452809	0.0000000000	-0.0278452809	0.4945848628	-0.0604237335
64	0.6400000000	0.4945848628	-0.0604237335	0.5054151372	0.4945848628	0.5054151372	0.4945848628	0.0000000000	-0.0298846640	-0.4292737390	0.4292737390	0.0000000000	-0.0255919266	0.0000000000	-0.0255919266	0.4943289436	-0.0561309961
65	0.6500000000	0.4943289436	-0.0561309961	0.5056710564	0.4943289436	0.5056710564	0.4943289436	0.0000000000	-0.0277471760	-0.4497015531	0.4497015531	0.0000000000	-0.0232501605	0.0000000000	-0.0232501605	0.4940964420	-0.0516339806
66	0.6600000000	0.4940964420	-0.0516339806	0.5059035580	0.4940964420	0.5059035580	0.4940964420	0.0000000000	-0.0255121661	-0.4682697466	0.4682697466	0.0000000000	-0.0208294686	-0.0000000000	-0.0208294686	0.4938881473	-0.0469512831
67	0.6700000000	0.4938881473	-0.0469512831	0.5061118527	0.4938881473	0.5061118527	0.4938881473	0.0000000000	-0.0231886822	-0.4849125392	0.4849125392	0.0000000000	-0.0183395569	0.0000000000	-0.0183395569	0.4937047517	-0.0421021577
68	0.6800000000	0.4937047517	-0.0421021577	0.5062952483	0.4937047517	0.5062952483	0.4937047517	0.0000000000	-0.0207860353	-0.4995720666	0.4995720666	0.0000000000	-0.0157903147	-0.0000000000	-0.0157903147	0.4935468486	-0.0371064371
69	0.6900000000	0.4935468486	-0.0371064371	0.5064531514	0.4935468486	0.5064531514	0.4935468486	0.0000000000	-0.0183137651	-0.5121985733	0.5121985733	0.0000000000	-0.0131917793	0.0000000000	-0.0131917793	0.4934149308	-0.0319844513
70	0.7000000000	0.4934149308	-0.0319844513	0.5065850692	0.4934149308	0.5065850692	0.4934149308	0.0000000000	-0.0157816058	-0.5227505721	0.5227505721	0.0000000000	-0.0105541001	0.0000000000	-0.0105541001	0.4933093898	-0.0267569456
