# time	stress	strain
82.3461538462	0.6843849485	0.0068438495
82.3653846154	0.6868660871	0.0068686609
82.3846153846	0.6892556090	0.0068925561
82.4038461538	0.6915523434	0.0069155234
82.4230769231	0.6937551099	0.0069375511
82.4423076923	0.6958627227	0.0069586272
82.4615384615	0.6978739943	0.0069787399
82.4807692308	0.6997877394	0.0069978774
82.5000000000	0.7016027793	0.0070160278
82.5192307692	0.7033179450	0.0070331795
82.5384615385	0.7049320816	0.0070493208
82.5576923077	0.7064440517	0.0070644405
82.5769230769	0.7078527390	0.0070785274
82.5961538462	0.7091570517	0.0070915705
82.6153846154	0.7103559255	0.0071035593
82.6346153846	0.7114483273	0.0071144833
82.6538461538	0.7124332571	0.0071243326
82.6730769231	0.7133097516	0.0071330975
82.6923076923	0.7140768857	0.0071407689
82.7115384615	0.7147337756	0.0071473378
82.7307692308	0.7152795798	0.0071527958
82.7500000000	0.7157135016	0.0071571350
82.7692307692	0.7160347902	0.0071603479
82.7884615385	0.7162427419	0.0071624274
82.8076923077	0.7163367012	0.0071633670
82.8269230769	0.7163160617	0.0071631606
82.8461538462	0.7161802662	0.0071618027
82.8653846154	0.7159288077	0.0071592881
82.8846153846	0.7155612290	0.0071556123
82.9038461538	0.7150771227	0.0071507712
82.9230769231	0.7144761314	0.0071447613
82.9423076923	0.7137579470	0.0071375795
82.9615384615	0.7129223100	0.0071292231
82.9807692308	0.7119690094	0.0071196901
83.0000000000	0.7108978814	0.0071089788
83.0192307692	0.7097088090	0.0070970881
83.0384615385	0.7084017210	0.0070840172
83.0576923077	0.7069765908	0.0070697659
83.0769230769	0.7054334358	0.0070543344
83.0961538462	0.7037723161	0.0070377232
83.1153846154	0.7019933337	0.0070199333
83.1346153846	0.7000966314	0.0070009663
83.1538461538	0.6980823920	0.0069808239
83.1730769231	0.6959508373	0.0069595084
83.1923076923	0.6937022272	0.0069370223
83.2115384615	0.6913368589	0.0069133686
83.2307692308	0.6888550665	0.0068885507
83.2500000000	0.6862572199	0.0068625722
83.2692307692	0.6835437246	0.0068354372
83.2884615385	0.6807150211	0.0068071502
83.3076923077	0.6777715846	0.0067777158
83.3269230769	0.6747139246	0.0067471392
83.3461538462	0.6715425848	0.0067154258
83.3653846154	0.6682581429	0.0066825814
83.3846153846	0.6648612106	0.0066486121
83.4038461538	0.6613524336	0.0066135243
83.4230769231	0.6577324919	0.0065773249
83.4423076923	0.6540020995	0.0065400210
83.4615384615	0.6501620048	0.0065016200
83.4807692308	0.6462129907	0.0064621299
83.5000000000	0.6421558752	0.0064215588
83.5192307692	0.6379915107	0.0063799151
83.5384615385	0.6337207852	0.0063372079
83.5576923077	0.6293446216	0.0062934462
83.5769230769	0.6248639782	0.0062486398
83.5961538462	0.6202798487	0.0062027985
83.6153846154	0.6155932620	0.0061559326
83.6346153846	0.6108052821	0.0061080528
83.6538461538	0.6059170079	0.0060591701
83.6730769231	0.6009295727	0.0060092957
83.6923076923	0.5958441436	0.0059584414
83.7115384615	0.5906619215	0.0059066192
83.7307692308	0.5853841393	0.0058538414
83.7500000000	0.5800120616	0.0058001206
83.7692307692	0.5745469837	0.0057454698
83.7884615385	0.5689902298	0.0056899023
83.8076923077	0.5633431519	0.0056334315
83.8269230769	0.5576071285	0.0055760713
83.8461538462	0.5517835620	0.0055178356
83.8653846154	0.5458738777	0.0054587388
83.8846153846	0.5398795213	0.0053987952
83.9038461538	0.5338019568	0.0053380196
83.9230769231	0.5276426641	0.0052764266
83.9423076923	0.5214031367	0.0052140314
83.9615384615	0.5150848791	0.0051508488
83.9807692308	0.5086894043	0.0050868940
84.0000000000	0.5022182310	0.0050221823
84.0192307692	0.4956728810	0.0049567288
84.0384615385	0.4890548763	0.0048905488
84.0576923077	0.4823657364	0.0048236574
84.0769230769	0.4756069758	0.0047560698
84.0961538462	0.4687801009	0.0046878010
84.1153846154	0.4618866077	0.0046188661
84.1346153846	0.4549279790	0.0045492798
84.1538461538	0.4479056821	0.0044790568
84.1730769231	0.4408211665	0.0044082117
84.1923076923	0.4336758616	0.0043367586
84.2115384615	0.4264711748	0.0042647117
84.2307692308	0.4192084898	0.0041920849
84.2500000000	0.4118891646	0.0041188916
84.2692307692	0.4045145307	0.0040451453
84.2884615385	0.3970858913	0.0039708589
84.3076923077	0.3896045212	0.0038960452
84.3269230769	0.3820716653	0.0038207167
84.3461538462	0.3744885390	0.0037448854
84.3653846154	0.3668563278	0.0036685633
84.3846153846	0.3591761875	0.0035917619
84.4038461538	0.3514492447	0.0035144924
84.4230769231	0.3436765978	0.0034367660
84.4423076923	0.3358593178	0.0033585932
84.4615384615	0.3279984498	0.0032799845
84.4807692308	0.3200950146	0.0032009501
84.5000000000	0.3121500106	0.0031215001
84.5192307692	0.3041644158	0.0030416442
84.5384615385	0.2961391902	0.0029613919
84.5576923077	0.2880752785	0.0028807528
84.5769230769	0.2799736125	0.0027997361
84.5961538462	0.2718351143	0.0027183511
84.6153846154	0.2636606995	0.0026366070
84.6346153846	0.2554512798	0.0025545128
84.6538461538	0.2472077669	0.0024720777
84.6730769231	0.2389310752	0.0023893108
84.6923076923	0.2306221259	0.0023062213
84.7115384615	0.2222818497	0.0022228185
84.7307692308	0.2139111906	0.0021391119
84.7500000000	0.2055111087	0.0020551111
84.7692307692	0.1970825841	0.0019708258
84.7884615385	0.1886266194	0.0018862662
84.8076923077	0.1801442427	0.0018014424
84.8269230769	0.1716365110	0.0017163651
84.8461538462	0.1631045119	0.0016310451
84.8653846154	0.1545493665	0.0015454937
84.8846153846	0.1459722316	0.0014597223
84.9038461538	0.1373743011	0.0013737430
84.9230769231	0.1287568080	0.0012875681
84.9423076923	0.1201210255	0.0012012103
84.9615384615	0.1114682679	0.0011146827
84.9807692308	0.1027998913	0.0010279989
85.0000000000	0.0941172937	0.0009411729
85.0192307692	0.0854219152	0.0008542192
85.0384615385	0.0767152374	0.0007671524
85.0576923077	0.0679987827	0.0006799878
85.0769230769	0.0592741131	0.0005927411
85.0961538462	0.0505428289	0.0005054283
85.1153846154	0.0418065664	0.0004180657
85.1346153846	0.0330669965	0.0003306700
85.1538461538	0.0243258218	0.0002432582
85.1730769231	0.0155847738	0.0001558477
85.1923076923	0.0068456100	0.0000684561
85.2115384615	-0.0018898891	-0.0000188989
85.2307692308	-0.0106199242	-0.0001061992
85.2500000000	-0.0193426802	-0.0001934268
85.2692307692	-0.0280563307	-0.0002805633
85.2884615385	-0.0367590417	-0.0003675904
85.3076923077	-0.0454489759	-0.0004544898
85.3269230769	-0.0541242969	-0.0005412430
85.3461538462	-0.0627831739	-0.0006278317
85.3653846154	-0.0714237856	-0.0007142379
85.3846153846	-0.0800443249	-0.0008004432
85.4038461538	-0.0886430031	-0.0008864300
85.4230769231	-0.0972180541	-0.0009721805
85.4423076923	-0.1057677388	-0.0010576774
85.4615384615	-0.1142903491	-0.0011429035
